Frame,bytes,opcode,handle,value
2429,14,Write Request (0x12),0x001e (Unknown),0100
2991,23,Write Request (0x12),0x0020 (Unknown),41542b434d4f44453f0d0a
2997,23,Write Request (0x12),0x0020 (Unknown),41542b434d4f44453f0d0a
3002,23,Write Request (0x12),0x0020 (Unknown),41542b4344434c4b3f0d0a
3006,23,Write Request (0x12),0x0020 (Unknown),41542b4344434c4b3f0d0a
3013,21,Write Request (0x12),0x0020 (Unknown),41542b4342433f0d0a
3022,21,Write Request (0x12),0x0020 (Unknown),41542b4342433f0d0a
3043,22,Write Request (0x12),0x0020 (Unknown),41542b435354523f0d0a
3055,23,Write Request (0x12),0x0020 (Unknown),41542b4344434c4b3f0d0a
3067,23,Write Request (0x12),0x0020 (Unknown),41542b51504f57503f0d0a
3074,21,Write Request (0x12),0x0020 (Unknown),41542b4342433f0d0a
3094,22,Write Request (0x12),0x0020 (Unknown),41542b51504f57530d0a
3619,22,Write Request (0x12),0x0020 (Unknown),41542b51504f57530d0a
3645,25,Write Request (0x12),0x0020 (Unknown),41542b435354523d302c320d0a
3746,25,Write Request (0x12),0x0020 (Unknown),41542b435354523d302c340d0a
4279,25,Write Request (0x12),0x0020 (Unknown),41542b435354523d302c340d0a
4386,25,Write Request (0x12),0x0020 (Unknown),41542b435354523d302c330d0a
4486,25,Write Request (0x12),0x0020 (Unknown),41542b435354523d302c310d0a
5227,25,Write Request (0x12),0x0020 (Unknown),41542b435354523d302c320d0a
5402,25,Write Request (0x12),0x0020 (Unknown),41542b435354523d302c320d0a
5475,25,Write Request (0x12),0x0020 (Unknown),41542b435354523d302c330d0a
5788,22,Write Request (0x12),0x0020 (Unknown),41542b51504f57500d0a
6087,22,Write Request (0x12),0x0020 (Unknown),41542b51504f57530d0a
6490,25,Write Request (0x12),0x0020 (Unknown),41542b435354523d302c320d0a
6588,25,Write Request (0x12),0x0020 (Unknown),41542b435354523d302c310d0a
6657,25,Write Request (0x12),0x0020 (Unknown),41542b435354523d302c300d0a
